ObjectMappingID,SourceConnection,ObjectType,SourceSchema,SourceTable,DestinationConnection,DestinationSchema,DestinationTable,IsEnabled,SourceGroup
145,sql_dwh,DV,META,SAT_Forecasts_Meta_Core,sql_dwh,DV,SAT_Forecasts_Meta_Core,1,
146,sql_dwh,DV,META,SAT_ForecastsCohort_Meta_Core,sql_dwh,DV,SAT_ForecastsCohort_Meta_Core,1,
147,sql_dwh,DV,META,SAT_ForecastName_Meta_Core,sql_dwh,DV,SAT_ForecastName_Meta_Core,1,
148,sql_dwh,DV,META,SAT_ForecastType_Meta_Core,sql_dwh,DV,SAT_ForecastType_Meta_Core,1,
149,sql_dwh,DV,META,SAT_Metric_Meta_Core,sql_dwh,DV,SAT_Metric_Meta_Core,1,
150,sql_dwh,DV,META,SAT_SourceType_Meta_Core,sql_dwh,DV,SAT_SourceType_Meta_Core,1,
151,sql_dwh,DV,META,LINK_Forecasts_ForecastType,sql_dwh,DV,LINK_Forecasts_ForecastType,1,
152,sql_dwh,DV,META,LINK_Forecasts_Metric,sql_dwh,DV,LINK_Forecasts_Metric,1,
153,sql_dwh,DV,META,LINK_Forecasts_SourceType,sql_dwh,DV,LINK_Forecasts_SourceType,1,
154,sql_dwh,DV,META,LINK_Forecasts_Programme,sql_dwh,DV,LINK_Forecasts_Programme,1,
155,sql_dwh,DV,META,LINK_Forecasts_DeliverySite,sql_dwh,DV,LINK_Forecasts_DeliverySite,1,
156,sql_dwh,DV,META,LINK_Forecasts_ForecastName,sql_dwh,DV,LINK_Forecasts_ForecastName,1,
157,sql_dwh,DV,META,LINK_ForecastsCohort_ForecastType,sql_dwh,DV,LINK_ForecastsCohort_ForecastType,1,
158,sql_dwh,DV,META,LINK_ForecastsCohort_Metric,sql_dwh,DV,LINK_ForecastsCohort_Metric,1,
159,sql_dwh,DV,META,LINK_ForecastsCohort_SourceType,sql_dwh,DV,LINK_ForecastsCohort_SourceType,1,
160,sql_dwh,DV,META,LINK_ForecastsCohort_Programme,sql_dwh,DV,LINK_ForecastsCohort_Programme,1,
161,sql_dwh,DV,META,LINK_ForecastsCohort_ForecastName,sql_dwh,DV,LINK_ForecastsCohort_ForecastName,1,
162,sql_dwh,DV,ADAPT,HUB_DocumentUpload,sql_dwh,DV,HUB_DocumentUpload,1,
163,sql_dwh,DV,ADAPT,LINK_Case_DocumentUpload,sql_dwh,DV,LINK_Case_DocumentUpload,1,
164,sql_dwh,DV,ADAPT,SAT_DocumentUpload_Adapt_Core,sql_dwh,DV,SAT_DocumentUpload_Adapt_Core,1,
165,sql_dwh,DV,META,HUB_Provider,sql_dwh,DV,HUB_Provider,1,
166,sql_dwh,DV,META,SAT_Provider_Adapt_Core,sql_dwh,DV,SAT_Provider_Adapt_Core,1,
167,sql_dwh,DV,META,LINK_DeliverySite_Provider, sql_dwh,DV,LINK_DeliverySite_Provider,1,
168,sql_dwh,DV,ADAPT,HUB_Entity,sql_dwh,DV,HUB_Entity,1,
169,sql_dwh,DV,ADAPT,SAT_Entity_SoftDelete_Adapt_Core,sql_dwh,DV,SAT_Entity_SoftDelete_Adapt_Core,1,
170,sql_dwh,DV,ADAPT,SAT_Assignment_LeaveAudit_Adapt_Core,sql_dwh,DV,SAT_Assignment_LeaveAudit_Adapt_Core,1,
171,sql_dwh,DV,ADAPT,HUB_OutcomeScore,sql_dwh,DV,HUB_OutcomeScore,1,
172,sql_dwh,DV,ADAPT,LINK_Case_OutcomeScore,sql_dwh,DV,LINK_Case_OutcomeScore,1,
173,sql_dwh,DV,ADAPT,SAT_OutcomeScore_Adapt_Core,sql_dwh,DV,SAT_Case_OutcomeScore_Adapt_Core,1,
174,sql_dwh,DV,ADAPT,SAT_Participant_Adapt_Industry,sql_dwh,DV,SAT_Participant_Adapt_Industry,1,
175,sql_dwh,DV,ADAPT,LINKSAT_Case_Assignment_Adapt_Core,sql_dwh,DV,LINKSAT_Case_Assignment_Adapt_Core,1,
176,sql_dwh,DV,ADAPT,HUB_JournalEntries,sql_dwh,DV,HUB_JournalEntries,1,
177,sql_dwh,DV,ADAPT,LINK_Participant_JournalEntries,sql_dwh,DV,LINK_Participant_JournalEntries,1,
178,sql_dwh,DV,ADAPT,SAT_JournalEntries_Adapt_Core,sql_dwh,DV,SAT_JournalEntries_Adapt_Core,1,
179,sql_dwh,DV,ADAPT,HUB_Submission,sql_dwh,DV,HUB_Submission,1,
180,sql_dwh,DV,ADAPT,LINK_Vacancy_Submission,sql_dwh,DV,LINK_Vacancy_Submission,1,
181,sql_dwh,DV,ADAPT,SAT_Submission_Adapt_Core,sql_dwh,DV,SAT_Submission_Adapt_Core,1,
182,sql_dwh,DV,ADAPT,LINK_Submission_Participant,sql_dwh,DV,LINK_Submission_Participant,1,
183,sql_dwh,DV,ADAPT,LINK_Case_JournalEntries,sql_dwh,DV,LINK_Case_JournalEntries,1,
184,sql_dwh,DV,ICONI,SAT_Activity_Iconi_Refugee,sql_dwh,DV,SAT_Activity_Iconi_Refugee,1,
185,sql_dwh,DV,ICONI,SAT_ActivityType_Iconi_Refugee,sql_dwh,DV,SAT_ActivityType_Iconi_Refugee,1,
186,sql_dwh,DV,ICONI,SAT_Case_Iconi_Refugee,sql_dwh,DV,SAT_Case_Iconi_Refugee,1,
187,sql_dwh,DV,ICONI,SAT_Case_Iconi_Dates_Refugee,sql_dwh,DV,SAT_Case_Iconi_Dates_Refugee,1,
188,sql_dwh,DV,ICONI,SAT_DeliverySite_Iconi_Refugee,sql_dwh,DV,SAT_DeliverySite_Iconi_Refugee,1,
189,sql_dwh,DV,ICONI,SAT_Referral_Iconi_Refugee,sql_dwh,DV,SAT_Referral_Iconi_Refugee,1,
